C_wt,dL,Stress
-1.0260447642909187,-0.07408535279569144,-0.10169608363073451
-1.0260447642909187,-0.06753661239735437,-0.09744157355895892
-1.0260447642909187,-0.06262551141466831,-0.09311616984735621
-1.0260447642909187,-0.0574991189666457,-0.08883689508692413
-1.0260447642909187,-0.05258997618276604,-0.08466648778960993
-1.0260447642909187,-0.047263855349140266,-0.08052815877144429
-1.0260447642909187,-0.04242757658337375,-0.07656440507494854
-1.0260447642909187,-0.037080368040468534,-0.07248189614805077
-1.0260447642909187,-0.03259904433023518,-0.0684727088798408
-1.0260447642909187,-0.026985950339158068,-0.06418824696100488
-1.0260447642909187,-0.021417133087964557,-0.05991710238537428
-1.0260447642909187,-0.016060488262752064,-0.05565920479503917
-1.0260447642909187,-0.01107194038771022,-0.05164226200591927
-1.0260447642909187,-0.006593311318880075,-0.04774665843837109
-1.0260447642909187,-0.00226776237046719,-0.04382543949976742
-1.0260447642909187,0.0023916474356736168,-0.039788809146649826
-1.0260447642909187,0.007915406775108238,-0.03579630947719194
-1.0260447642909187,0.013051979752109342,-0.03169275130496252
-1.0260447642909187,0.018204136024411646,-0.027597985980529677
-1.0260447642909187,0.02283069637676385,-0.023586402660159003
-1.0260447642909187,0.028199098551966062,-0.01947924377311913
-1.0260447642909187,0.03283763234709162,-0.015594135794510496
-1.0260447642909187,0.03801876734288411,-0.011705941166539691
-1.0260447642909187,0.0426558804279283,-0.007655677349866653
-1.0260447642909187,0.04794013596308661,-0.003469985746474645
-1.0260447642909187,0.05272151424162393,0.0003824393223517732
-1.0260447642909187,0.05797607167163769,0.004526865873001978
-1.0260447642909187,0.062636911322176,0.008306178313696231
-1.0260447642909187,0.06730056544004095,0.012079703564221379
-1.0260447642909187,0.07161387768984391,0.015960997851314662
-1.0260447642909187,0.07621419198356723,0.020020850241986455
-1.0260447642909187,0.08155374334109236,0.02405945438277766
-1.0260447642909187,0.08675443526362399,0.028098779207558686
-1.0260447642909187,0.09206162414003824,0.03211880964463147
-1.0260447642909187,0.09674076379047143,0.03595253593049703
-1.0260447642909187,0.10229852950540648,0.040046956195497974
-1.0260447642909187,0.10639158023146295,0.04383592557974157
-1.0260447642909187,0.11161351437004528,0.04765893093882314
-1.0260447642909187,0.11622082029184357,0.0515952397884305
-1.0260447642909187,0.12150000078337632,0.055738028254017476
-1.0260447642909187,0.12629169374037139,0.05956272342980722
-1.0260447642909187,0.13134904985335438,0.0636780288711335
-1.0260447642909187,0.13592900132410082,0.06756959838499439
-1.0260447642909187,0.1410791506377437,0.07161634145686964
-1.0260447642909187,0.14588048154512753,0.07582466374646481
-1.0260447642909187,0.15052561755977306,0.07966186889522622
-1.0260447642909187,0.15623467688473733,0.08369644898579161
-1.0260447642909187,0.160765592746861,0.08738651451725746
-1.0260447642909187,0.16604841768924572,0.09125736516675827
-1.0260447642909187,0.17049010142202198,0.0949701895142343
-1.0260447642909187,0.17563687115575224,0.09905850661014025
-1.0260447642909187,0.18012570235529218,0.10272107637101864
-1.0260447642909187,0.18536429843358626,0.1066274541638637
-1.0260447642909187,0.1895870724554923,0.11054903807980239
-1.0260447642909187,0.1948058292213786,0.11443997591312813
-1.0260447642909187,0.19934474091681145,0.11821952716959319
-1.0260447642909187,0.20455434366305228,0.12223053394302555
-1.0260447642909187,0.20913109244323458,0.125867182312397
-1.0260447642909187,0.2136169206765164,0.1295022057435596
-1.0260447642909187,0.21821233464133208,0.133581343467382
-1.0260447642909187,0.2226408048165224,0.13718283943727969
-1.0260447642909187,0.22810243328408525,0.14111744183288608
-1.0260447642909187,0.23228633573698623,0.14475372503126852
-1.0260447642909187,0.2374651396568865,0.14862994564321244
-1.0260447642909187,0.24189562684419244,0.15241189933129595
-1.0260447642909187,0.24700916755721067,0.15630098349788074
-1.0260447642909187,0.2514688338442506,0.15989361418156353
-1.0260447642909187,0.2566319393773712,0.16371109405130022
-1.0260447642909187,0.26107091995507914,0.1676058095240145
-1.0260447642909187,0.2656811914689474,0.1712845776610047
-1.0260447642909187,0.2700611778337132,0.1749186205953297
-1.0260447642909187,0.27520055293439993,0.17881218069376723
-1.0260447642909187,0.2795278168536231,0.1823311845930581
-1.0260447642909187,0.2839743366816897,0.1858660442511954
-1.0260447642909187,0.28800669556359454,0.18937563537623256
-1.0260447642909187,0.2922638338184167,0.19299161724401995
-1.0260447642909187,0.29752218257816276,0.1966879613014009
-1.0260447642909187,0.30235529089478425,0.20033825448584058
-1.0260447642909187,0.3069120993299831,0.20385591104131054
-1.0260447642909187,0.3112425240719625,0.20740798822329337
-1.0260447642909187,0.3163503015630749,0.2112997795661861
-1.0260447642909187,0.320752435656229,0.21481819873099614
-1.0260447642909187,0.3255717432640781,0.21851811511508165
-1.0260447642909187,0.32983214199672634,0.2222838721323879
-1.0260447642909187,0.3344133228803827,0.22618943295236615
-1.0260447642909187,0.3393400475593728,0.22997303738475192
-1.0260447642909187,0.34374737070511835,0.2337815841953924
-1.0260447642909187,0.3480958975691263,0.23736125865343005
-1.0260447642909187,0.352776745572465,0.24111067214482637
-1.0260447642909187,0.355716726320471,0.24345202894229181
-1.0260447642909187,0.35991156757646425,0.24711594878126855
-1.0260447642909187,0.36505312903236264,0.25082170138595544
-1.0260447642909187,0.3698806605272391,0.2544405553577463
-1.0260447642909187,0.3748521336761331,0.25822129838458535
-1.0260447642909187,0.3791911112829125,0.2616454275767148
-1.0260447642909187,0.38364290681090674,0.265204924656065
-1.0260447642909187,0.3879306617290959,0.26867504786785856
-1.0260447642909187,0.3928437642474034,0.2723381218299383
-1.0260447642909187,0.39745110840595227,0.27593000502437254
-1.0260447642909187,0.40173449856598353,0.2794972989037281
-1.0260447642909187,0.4067258453055785,0.28301201347202887
-1.0260447642909187,0.4114099497876344,0.286621201517346
-1.0260447642909187,0.4162854481965555,0.2903821580801443
-1.0260447642909187,0.4209614665966435,0.2941264284442813
-1.0260447642909187,0.42536930166509634,0.29801346568844067
-1.0260447642909187,0.43004812466021447,0.3017653731880736
-1.0260447642909187,0.43541173930580224,0.3054285870960883
-1.0260447642909187,0.4404233804035586,0.3090637056124831
-1.0260447642909187,0.44514172620657527,0.31260280883969493
-1.0260447642909187,0.4492526215239498,0.31613573807892487
-1.0260447642909187,0.4534188840695184,0.3195272055400416
-1.0260447642909187,0.4576612353436417,0.3230219776265896
-1.0260447642909187,0.4624419683532035,0.32656925266153564
-1.0260447642909187,0.46659205701222817,0.33012497945873454
-1.0260447642909187,0.47115709229591585,0.33366966148562066
-1.0260447642909187,0.4759344778179627,0.3373313117007989
-1.0260447642909187,0.4805270991527513,0.34098652394343143
-1.0260447642909187,0.4851200537968042,0.3443881255096409
